vessel name,country,vessel_code,is_ulysses,account_type,gl_account,account_type,account_category,pl_mapping_1,pnl_contribution_daily_usd_rounded,Business Date Local,order_account_full_code
Wall Street Ltd 1,GB,LIV-005-01,TRUE,REEF UK,511005,,,L1 Expenses,159.64,6/1/2024,GB-M00008-GB-XX-RE-1783925-KI-1002144-GB11-D00019-07-511005
Wall Street Ltd 1,GB,LIV-005-01,TRUE,REEF UK,511005,,,L1 Expenses,169.8813333,6/1/2024,GB-M00008-GB-XX-RE-1783925-KI-1002144-GB11-D00019-07-511005
,GB,LDN-005-01,FALSE,REEF UK,511005,,,L1 Expenses,84.60433333,6/1/2024,GB-M25861-GB-XX-RE-2000021-KI-1000328-GB11-D00019-07-511005
,GB,LDN-005-01,FALSE,REEF UK,511005,,,L1 Expenses,25.85966667,6/1/2024,GB-M25861-GB-XX-RE-2000021-KI-1000328-GB11-D00019-07-511005
Eesentia,GB,LDN-205-02,TRUE,REEF UK,511005,,,L1 Expenses,54.624,6/1/2024,GB-M25861-GB-XX-RE-1532113-LDN-205-BK02-GB11-D00019-07-511005
Mamtas Kitchen Ltd,GB,LDN-029-01,TRUE,REEF UK,511005,,,L1 Expenses,174.7213333,6/1/2024,GB-M25861-GB-XX-RE-2000169-KI-1001364-GB11-D00019-07-511005
Mamtas Kitchen Ltd,GB,LDN-029-01,TRUE,REEF UK,511005,,,L1 Expenses,175.306,6/1/2024,GB-M25861-GB-XX-RE-2000169-KI-1001364-GB11-D00019-07-511005
,GB,LDN-263-01,FALSE,REEF UK,511005,,,L1 Expenses,92.353,6/1/2024,GB-M25861-GB-XX-RE-1528649-KI-1001314-GB11-D00019-07-511005
,GB,LDN-263-01,FALSE,REEF UK,511005,,,L1 Expenses,57.064,6/1/2024,GB-M25861-GB-XX-RE-1528649-KI-1001314-GB11-D00019-07-511005
,US,RDU-001-01,FALSE,Kitchens (US),519070,,,L1 Expenses,0.853333333,6/1/2024,RDU-001-AK01-US22-519070-52
,US,RDU-001-01,FALSE,Kitchens (US),519070,,,L1 Expenses,0.6,6/1/2024,RDU-001-AK01-US22-519070-52
,US,RDU-001-01,FALSE,Kitchens (US),519070,,,L1 Expenses,0.026,6/1/2024,RDU-001-AK01-US22-519070-52
,US,RDU-001-01,FALSE,Kitchens (US),519070,,,L1 Expenses,0.13,6/1/2024,RDU-001-AK01-US22-519070-52
,US,MIN-030-01,FALSE,Kitchens (US),507005,,,L1 Expenses,93,6/1/2024,MIN-030-EK01-US26-507005-37
,US,NYC-035-01,FALSE,Kitchens (US),515040,,,L1 Expenses,20.92133333,6/1/2024,NYC-035-MF01-US20-515040-16-PROJECT ID
Mamtas Kitchen Ltd,GB,LDN-029-01,TRUE,REEF UK,519025,,,L1 Expenses,5.094,6/1/2024,GB-M25861-GB-XX-RE-2000169-KI-1001364-GB11-D00019-07-519025
Mamtas Kitchen Ltd,GB,LDN-029-01,TRUE,REEF UK,519025,,,L1 Expenses,8.570666667,6/1/2024,GB-M25861-GB-XX-RE-2000169-KI-1001364-GB11-D00019-07-519025
Pikachu,CA,TOR-010-01,TRUE,Kitchens (CAN),507005,,,L1 Expenses,4.623333333,6/1/2024,TOR-010-EK01-CA22-507005-55
,GB,LDN-202-01,FALSE,REEF UK,519025,,,L1 Expenses,0.545666667,6/1/2024,GB-M25861-GB-XX-RE-1524299-KI-1002145-GB11-D00027-04-519025
